,Name,T,S,K,r,q,Moneyness,Call Mkt Price,Put Mkt Price,Call Delta,Put Delta,Gamma,Vega,Call Theta,Put Theta,Call Rho,Put Rho,Call IV,Put IV
0,220118-1200,0.010958904109589041,4662.85,1200.0,0.0019725118850625247,0.015,0.26084980283528625,3400.3,0.025,0.9999198070765057,-5.857658852716217e-05,1.4200028614864825e-07,0.11522864843363381,-11.687283678169115,-18.39436652815009,-37.263561644661976,-0.0002739734290997188,3.4988284961196636,3.498828496126039
1,220118-1400,0.010958904109589041,4662.85,1400.0,0.0019725118850625247,0.015,0.3043250559760742,3200.3,0.025,0.9999121889102722,-6.619475476070536e-05,1.7953095775375318e-07,0.12930461839548507,-12.008144597260516,-18.32072507022899,-35.07178082145853,-0.000273972143460781,3.105466953423267,3.105466953414661
2,220118-1600,0.010958904109589041,4662.85,1600.0,0.0019725118850625247,0.015,0.34780039083221165,3000.3,0.025,0.9999039117011307,-7.447196390220554e-05,2.2526427427020588e-07,0.14448038911492192,-12.311651499351637,-18.229729595307603,-32.87999999982181,-0.00027397242454633275,2.7654742656274305,2.765474265624301
3,220118-1800,0.010958904109589041,4662.85,1800.0,0.0019725118850625247,0.015,0.39127580740392925,2800.3,0.025,0.9998947868733921,-8.359679164085029e-05,2.8165980593023506e-07,0.16108294231063186,-12.599411452921313,-18.12298717186477,-30.68821917677663,-0.00027397129717791853,2.4659174479743724,2.46591744796843
4,220118-1900,0.010958904109589041,4662.85,1900.0,0.0019725118850625247,0.015,0.41301354633320253,2700.3,0.025,0.9998898360798978,-8.854758513514455e-05,3.148751822794324e-07,0.1700398425853763,-12.737882921708024,-18.064207452145233,-29.592328769418486,-0.0002739748979367315,2.3284479060033076,2.3284479059967875
5,220118-2000,0.010958904109589041,4662.85,2000.0,0.0019725118850625247,0.015,0.4347513056914572,2600.3,0.025,0.9998845850648941,-9.379860013891488e-05,3.521248631838371e-07,0.17950338229596724,-12.872271050784565,-18.001344392715524,-28.496438356716215,-0.00027397315456668524,2.198014822177458,2.1980148221811677
6,220118-2100,0.010958904109589041,4662.85,2100.0,0.0019725118850625247,0.015,0.4564890854787221,2500.3,0.025,0.999878994468683,-9.938919634995063e-05,3.940631550899957e-07,0.18953979043881516,-13.002779100304664,-17.93460125372937,-27.40054794313093,-0.0002739705281904142,2.073908759088815,2.0739087590848135
7,220118-2200,0.010958904109589041,4662.85,2200.0,0.0019725118850625247,0.015,0.47822688569502597,2400.3,0.025,0.9998730178334663,-0.0001053658315666593,4.414845194556708e-07,0.20022695709651564,-13.129761047793139,-17.86433201271159,-26.304657536585047,-0.00027397494121145124,1.9555213220727983,1.9555213220454994
8,220118-2300,0.010958904109589041,4662.85,2300.0,0.0019725118850625247,0.015,0.49996470634039764,2300.3,0.025,0.999866609750363,-0.00011177391466985655,4.953237369981585e-07,0.21163968863972343,-13.252135784538375,-17.789455560950575,-25.208767121168687,-0.00027397048375053237,1.8423149203943467,1.8423149203930318
9,220118-2400,0.010958904109589041,4662.85,2400.0,0.0019725118850625247,0.015,0.5217025474148659,2200.3,0.025,0.9998597042888294,-0.00011867937620342842,5.567741628748453e-07,0.22388791162792224,-13.370813419517805,-17.710882007423752,-24.112876716062488,-0.0002739763364596831,1.7338354413680312,1.7338354413669284
