
Standard & Poors 500 Index,Last: 4600.4502,Change:  -62.3998
"Date: January 18, 2022, 3:17 PM EST",Bid: 4599.6602,Ask: 4601.6201,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Jan 18 2022,SPXW220118C01200000,0,0,3391.5,3409.1,0,0,1,0,0,1200.00,SPXW220118P01200000,0,0,0,0.05,0,0,0,0,0
Tue Jan 18 2022,SPXW220118C01400000,0,0,3191.5,3209.1,0,0,1,0,0,1400.00,SPXW220118P01400000,0,0,0,0.05,0,0,0,0,0
Tue Jan 18 2022,SPXW220118C01600000,0,0,2991.5,3009.1,0,0,1,0,0,1600.00,SPXW220118P01600000,0,0,0,0.05,0,0,0,0,0
Tue Jan 18 2022,SPXW220118C01800000,0,0,2791.5,2809.1,0,0,1,0,0,1800.00,SPXW220118P01800000,0,0,0,0.05,0,0,0,0,0
Tue Jan 18 2022,SPXW220118C01900000,0,0,2691.5,2709.1,0,0,1,0,0,1900.00,SPXW220118P01900000,0,0,0,0.05,0,0,0,0,0
Tue Jan 18 2022,SPXW220118C02000000,0,0,2591.5,2609.1,0,0,1,0,0,2000.00,SPXW220118P02000000,0.05,0,0,0.05,0,0,0,0,4
Tue Jan 18 2022,SPXW220118C02100000,0,0,2491.5,2509.1,0,0,1,0,0,2100.00,SPXW220118P02100000,0.05,0,0,0.05,0,0,0,0,2
Tue Jan 18 2022,SPXW220118C02200000,0,0,2391.5,2409.1,0,0,1,0,0,2200.00,SPXW220118P02200000,0,0,0,0.05,0,0,0,0,0
Tue Jan 18 2022,SPXW220118C02300000,0,0,2291.5,2309.1,0,0,1,0,0,2300.00,SPXW220118P02300000,0.1,0,0,0.05,0,0,0,0,1
Tue Jan 18 2022,SPXW220118C02400000,0,0,2191.5,2209.1,0,0,1,0,0,2400.00,SPXW220118P02400000,0.05,0,0,0.05,0,0,0,0,1
Tue Jan 18 2022,SPXW220118C02500000,0,0,2091.5,2109.1,0,0,1,0,0,2500.00,SPXW220118P02500000,0.1,0,0,0.05,0,0,0,0,1
Tue Jan 18 2022,SPXW220118C02600000,0,0,1991.5,2009.1,0,0,1,0,0,2600.00,SPXW220118P02600000,0.05,0,0,0.05,0,0,0,0,44
Tue Jan 18 2022,SPXW220118C02700000,0,0,1891.5,1909.1,0,0,1,0,0,2700.00,SPXW220118P02700000,0.05,0,0,0.05,0,0,0,0,36
Tue Jan 18 2022,SPXW220118C02800000,0,0,1791.5,1809.1,0,0,1,0,0,2800.00,SPXW220118P02800000,0.05,0,0,0.05,0,0,0,0,22
Tue Jan 18 2022,SPXW220118C02900000,0,0,1691.5,1709.1,0,0,1,0,0,2900.00,SPXW220118P02900000,0.05,0,0,0.05,0,0,0,0,160
Tue Jan 18 2022,SPXW220118C03000000,0,0,1591.5,1609.1,0,0,1,0,0,3000.00,SPXW220118P03000000,0.05,0,0,0.05,0,0,0,0,671
